"Year","country_name","Total_imp","Pref_Trade","Eligible_Trade","Total_volume","Pref_Volume","Eligible_Volume","uk_trade_agreement","uk_agreement_name","uk_dcts_tier","uk_dcts"
2022,"Afghanistan",1536157,1183164,1266989,616620,527417,568663,FALSE,NA,"Comprehensive",TRUE
2022,"Albania",3215978,1690426,1874297,3125672,1171372,1301811,TRUE,"UK-Albania Partnership, Trade and Cooperation Agreement",NA,FALSE
2022,"Algeria",4257833,19791,1852290,12034830,40969,928984,FALSE,NA,"Enhanced",TRUE
2022,"Andorra",55096,0,0,39316,0,0,FALSE,NA,NA,FALSE
2022,"Angola",89084,0,89084,3565,0,3565,FALSE,NA,"Comprehensive",TRUE
2022,"Anguilla",9820,0,0,2780,0,0,FALSE,NA,NA,FALSE
2022,"Antigua & Barbuda",514829,0,497813,172778,0,166503,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
2022,"Argentina",807951307,0,0,1610646088,0,0,FALSE,NA,NA,FALSE
2022,"Armenia",779467,0,0,460438,0,0,FALSE,NA,NA,FALSE
2022,"Australia",532320884,0,0,391748623,0,0,TRUE,"UK-Australia Free Trade Agreement; CPTPP",NA,FALSE
2022,"Azerbaijan",115086,0,0,36443,0,0,FALSE,NA,NA,FALSE
2022,"Bahamas",1684909,1612209,1638029,48054,34348,34807,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
2022,"Bahrain",105573,0,0,34282,0,0,FALSE,NA,NA,FALSE
2022,"Bangladesh",78082067,70169980,70732225,21140011,18917363,19005236,FALSE,NA,"Comprehensive",TRUE
2022,"Barbados",4278891,2934711,3076423,1780780,1564214,1580821,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
2022,"Belarus",2002379,0,0,9052077,0,0,FALSE,NA,NA,FALSE
2022,"Belize",48707993,45481904,48134042,72155686,69504570,72061771,TRUE,"CARIFORUM-UK Economic Partnership Agreement",NA,FALSE
2022,"Benin",1304391,121000,124146,536962,88000,119182,FALSE,NA,"Comprehensive",TRUE
2022,"Bermuda",843756,528065,775725,99632,58371,85294,FALSE,NA,NA,FALSE
2022,"Bolivia",21356887,313288,450291,3517970,125565,177745,FALSE,NA,"Enhanced",TRUE
2022,"Bosnia & Herzegovina",2060489,0,0,1601589,0,0,FALSE,NA,NA,FALSE
2022,"Botswana",796489,782631,782631,215003,213771,213771,TRUE,"SACUM-UK Economic Partnership Agreement",NA,FALSE
2022,"Brazil",1528703734,0,0,1926605137,0,0,FALSE,NA,NA,FALSE
2022,"British Indian Ocean Territory",32277,32277,32277,6834,6834,6834,FALSE,NA,NA,FALSE
2022,"British Virgin Islands",799385,2533,2533,62690,326,326,FALSE,NA,NA,FALSE
2022,"Brunei",1753,0,0,5,0,0,FALSE,NA,NA,FALSE
2022,"Burkina Faso",4928936,156100,273925,904515,33691,69548,FALSE,NA,"Comprehensive",TRUE
2022,"Burundi",994233,0,0,212202,0,0,FALSE,NA,"Comprehensive",TRUE
2022,"Cambodia",14008432,13504540,13888804,17937878,17448025,17900900,FALSE,NA,"Comprehensive",TRUE
2022,"Cameroon",39594567,38999582,39065947,53008092,52570694,52658103,TRUE,"UK-Cameroon Economic Partnership Agreement",NA,FALSE
2022,"Canada",745130001,187257223,214785030,1282604209,38048351,43151480,TRUE,"UK-Canada Trade Continuity Agreement; CPTPP",NA,FALSE
2022,"Cayman Islands",193554,181857,191272,112627,111648,112227,FALSE,NA,NA,FALSE
2022,"Central African Republic",3935,0,3935,889,0,889,FALSE,NA,"Comprehensive",TRUE
2022,"Chad",982878,0,0,974222,0,0,FALSE,NA,"Comprehensive",TRUE
2022,"Chile",463653487,385739107,420467618,232655231,196043399,207786889,TRUE,"UK-Chile Association Agreement; CPTPP",NA,FALSE
2022,"China",1616858351,0,0,490617141,0,0,FALSE,NA,NA,FALSE
2022,"Christmas Island",16003,0,0,1996,0,0,FALSE,NA,NA,FALSE
2022,"Cocos (Keeling) Islands",6585,0,0,1756,0,0,FALSE,NA,NA,FALSE
2022,"Colombia",359035495,255769844,271253338,316432678,293930607,297210974,TRUE,"UK-Andean Countries Trade Agreement",NA,FALSE
2022,"Comoros",97459,72968,97459,20031,11000,20031,FALSE,NA,"Comprehensive",TRUE
